cfdaNumber,estimatedTotalAmt,fundsObligatedAmt,fundProgramName,id,pdPIName,piFirstName,piMiddeInitial,piLastName,poName,date,startDate,expDate,title,coPDPI,piFullName
47.083,300000.0,300000,EPSCoR RII Track-4: Res Fellow,2429739,Meng Zhao,Meng,[],Zhao,Benjamin J. McCall,2024-09-10,2025-02-01,2027-01-31,EPSCoR Research Fellows: NSF: Enhancing Water Budget Simulations across CONUS: Modeling Vegetation Uptake of Rock Moisture,[],MENG ZHAO
47.083,299938.0,299938,EPSCoR RII Track-4: Res Fellow,2429402,Feng Li,Feng,[],Li,Pinhas Ben-Tzvi,2024-09-10,2025-01-01,2026-12-31,EPSCoR Research Fellows: NSF: Heterogeneous Integration of Wide Bandgap Semiconductor Chips for High Temperature Applications,[],FENG LI
47.074,644970.0,202860,ORCC-Organism Resp Clim Change,2413361,Paul A Hohenlohe,Paul,A,Hohenlohe,Patrick Abbot,2024-07-19,2024-12-01,2027-11-30,Collaborative Research: ORCC: Integrating evolutionary adaptive capacity and trophic dynamics to predict multi-species responses to climate change,"['James J Nagler', 'Alexandra K Fraik']",PAUL HOHENLOHE
47.083,2999956.0,1508247,EPSCoR RII Track-2 FEC,2418257,Tara Hudiburg,Tara,[],Hudiburg,Benjamin J. McCall,2024-07-22,2024-09-01,2028-08-31,Collaborative Research: RII FEC: Intermountain Natural and Working Lands: Sustainable Practices for Ecosystems and Resilience Enhancement,"['Kristina Bartowitz', 'Dianne Baumann', 'Alex Maas', 'Kristin Haltinner']",TARA HUDIBURG
47.041,169888.0,169888,EngEd-Engineering Education,2406953,Jae Ryu,Jae,[],Ryu,Dana L. Denick,2024-08-15,2024-09-01,2026-08-31,Collaborative Research: Research Initiation: Elevating First-Year Engineering Engagement: A Comparative Analysis of Drone Courses Between HyFlex and In-Person Formats,['Kevin Chang'],JAE RYU
"47.050, 47.083",315794.0,315794,STUDIES OF THE EARTHS DEEP INT,2406115,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Wendy Panero,2024-07-18,2024-08-01,2027-07-31,Merging Particle Physics and Earth Science to develop a new tool to constrain the physical and chemical properties of LLSVPs,[],ERIC MITTELSTAEDT
47.074,277923.0,277923,Evolutionary Processes,2423020,Christine E Parent,Christine,E,Parent,Samuel Scheiner,2024-07-01,2024-07-01,2027-06-30,MCA: Species Diversification and Community Assembly in Andean Land Snails,[],CHRISTINE PARENT
"47.049, 47.083",180000.0,180000,Gravity Theory,2409654,Zachariah B Etienne,Zachariah,B,Etienne,Pedro Marronetti,2024-05-20,2024-06-01,2027-05-31,Democratizing Numerical Relativity: Advancing Binary Black Hole Simulations on Consumer-Grade Hardware,[],ZACHARIAH ETIENNE
47.074,15000000.0,2669046,Cross-BIO Activities,2320667,Tara Hudiburg,Tara,[],Hudiburg,Reed Beaman,2024-05-06,2024-05-01,2030-04-30,BII: EMBER: Embedding Molecular Biology in Ecosystem Research in an era of increasing wildfire and drought,"['Christopher J Marx', 'Norma C Martinez-Gomez', 'Winslow D Hansen', 'Laurel Lynch']",TARA HUDIBURG
"47.070, 47.083",628415.0,628415,Campus Cyberinfrastructure,2346652,Daniel R Ewart,Daniel,R,Ewart,Kevin Thompson,2024-03-18,2024-04-01,2026-03-31,Research Infrastructure: CC*Networking Infrastructure: Deep Soil to Supercomputing - Infrastructure Enhancements as a Force Multiplier for Idaho Research,['Lucas J Sheneman'],DANIEL EWART
"47.049, 47.083",456051.0,302462,UNDERGRADUATE PROGRAMS IN CHEM,2348001,Kristopher V Waynant,Kristopher,V,Waynant,Tomislav Pintauer,2024-03-04,2024-04-01,2027-03-31,REU Site: Elements of Sustainability,['James Moberly'],KRISTOPHER WAYNANT
47.084,1000000.0,1000000,NSF Engines - Type 1,2315272,Tara Hudiburg,Tara,[],Hudiburg,"Xueying ''Shirley"" Han",2024-01-30,2024-03-01,2026-02-28,"NSF Engines Development Award: Building a climate-smart future in the Columbia River Basin (ID, OR, WA)","['Laura Laumatia', 'Michael Maughan', 'Richard T French', 'Kristina Bartowitz']",TARA HUDIBURG
47.076,1179977.0,546482,Discovery Research K-12,2246989,Julie M Amador,Julie,M,Amador,Jennifer Noll,2023-07-19,2023-12-01,2027-11-30,Collaborative Research: Exploring the Landscape of Rural Mathematics Education,[],JULIE AMADOR
47.049,250000.0,250000,LEAPS-MPS,2315862,Esteban A Hernandez Vargas,Esteban,A,Hernandez Vargas,Yuliya Gorb,2023-07-18,2023-11-01,2025-10-31,LEAPS-MPS: Controllable sets for nonlinear switched models with applications to infectious diseases,[],ESTEBAN HERNANDEZ VARGAS
47.083,2435509.0,1214122,EPSCoR RII Track-2 FEC,2316126,Lilian Alessa,Lilian,[],Alessa,Jose Colom,2023-08-04,2023-10-01,2027-09-30,Collaborative Research: RII Track-2 FEC: Where We Live: Local and Place Based Adaptation to Climate Change in Underserved Rural Communities,"['Alistair M Smith', 'Erich Seamon']",LILIAN ALESSA
"47.049, 47.074, 47.083",664468.0,664468,Population & Community Ecology,2314616,Scott L Nuismer,Scott,L,Nuismer,Betsy Von Holle,2023-07-21,2023-10-01,2026-09-30,Predicting the spread and impact of transmissible vaccines,[],SCOTT NUISMER
47.083,99445.0,99445,EPSCoR Outreach and Workshops,2328585,Indrajit Charit,Indrajit,[],Charit,Pinhas Ben-Tzvi,2023-08-17,2023-09-01,2024-08-31,Conference: NSF EPSCoR Workshop: Intelligent Manufacturing for Extreme Environments,"['Patrick A Johnson', 'Marco P Schoen', 'John Russell', 'David Estrada']",INDRAJIT CHARIT
47.083,20000000.0,7378643,EPSCoR RII Track-1,2242769,Andrew D Kliskey,Andrew,D,Kliskey,Jeanne Small,2023-05-05,2023-08-01,2028-07-31,RII Track-1: Idaho Community-engaged Resilience for Energy-Water Systems (I-CREWS),"['Kitty E Griswold', 'Karla Eitel', 'Kathleen Araujo', 'Alistair M Smith']",ANDREW KLISKEY
47.050,509641.0,358318,Geophysics,2310324,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Wendy Panero,2023-06-08,2023-07-01,2026-06-30,Collaborative Research: As above so below: Quantifying the role of simultaneous LLSVPs and continents on Earth's cooling history using numerical simulations of mantle convection,[],ERIC MITTELSTAEDT
47.050,156022.0,156022,P4CLIMATE,2303481,Grant Harley,Grant,[],Harley,David Verardo,2023-05-18,2023-07-01,2026-06-30,"Collaborative Research: High-Resolution, Multi-Species Reconstructions of Greater Yellowstone Region Paleoclimates Using Tree-Ring Anatomy",[],GRANT HARLEY
47.074,250000.0,100000,Ecology of Infectious Diseases,2316443,Shirley Luckhart,Shirley,[],Luckhart,Andrea Porras-Alfaro,2023-05-02,2023-05-01,2028-04-30,Conference: University of Idaho Institute for Health in the Human Ecosystem Biology of Vector-borne Diseases Course,['Edwin E Lewis'],SHIRLEY LUCKHART
47.049,45380.0,45380,Combinatorics,2246773,Alexander Woo,Alexander,[],Woo,Stefaan De Winter,2023-04-10,2023-05-01,2025-04-30,Conference: Permutation Patterns 2023 and 2024,[],ALEXANDER WOO
47.070,359828.0,359828,CyberTraining - Training-based,2229604,Amin Mirkouei,Amin,[],Mirkouei,Sharmistha Bagchi-Sen,2022-09-06,2023-01-01,2026-12-31,Collaborative Research: CyberTraining: Implementation: Medium: CyberTraining of Construction (CyCon) Research Workforce Through an Educational and Community Engagement Platform,['Xiaogang Ma'],AMIN MIRKOUEI
47.041,199946.0,148159,ERI-Eng. Research Initiation,2312081,Johnny Li,Johnny,[],Li,Siqian Shen,2023-03-13,2022-10-01,2025-02-28,ERI: Drones-Enabled Active Sensing System (DEASS) for Detection of Subsurface Defects in Civil Infrastructure through Synchronized Drone Swarming and Thermal Imaging,[],JOHNNY LI
47.076,276000.0,783167,Graduate Research Fellowship,2235197,Jerry R McMurtry,Jerry,R,McMurtry,Joel Schildbach,2022-08-17,2022-09-01,2027-08-31,Graduate Research Fellowship Program (GRFP),[],JERRY MCMURTRY
47.076,2999999.0,2300246,Discovery Research K-12,2201148,Vanessa Anthony-Stevens,Vanessa,[],Anthony-Stevens,Toya frank,2022-06-30,2022-07-01,2026-06-30,Cultivating Relationships: Partnering with Teachers and Tribes to Integrate Indigenous and School STEM Knowledge,"['Karla Eitel', 'Brant G Miller', 'Philip Stevens', 'Shanara Spang Gion']",VANESSA ANTHONY-STEVENS
47.074,71669.0,71669,Ecology of Infectious Diseases,2216790,Scott L Nuismer,Scott,L,Nuismer,Samuel Scheiner,2022-05-03,2022-06-01,2023-05-31,Conference: Coordinating the development of self-disseminating vaccines for spillover prevention,[],SCOTT NUISMER
47.049,226347.0,226347,WoU-Windows on the Universe: T,2227080,Zachariah B Etienne,Zachariah,B,Etienne,Hans Krimm,2022-04-20,2022-05-01,2025-07-31,Collaborative Research: WoU-MMA: Toward Binary Neutron Star Mergers on a Moving-mesh,[],ZACHARIAH ETIENNE
"47.041, 47.083",402341.0,402341,BMMB-Biomech & Mechanobiology,2145004,Nathan R Schiele,Nathan,R,Schiele,Shivani Sharma,2022-05-03,2022-05-01,2025-04-30,Understanding Regulators of Collagen Crosslinking Enzymes for Tendon Formation,[],NATHAN SCHIELE
47.074,898220.0,527999,Cellular Dynamics and Function,2143405,Paul A Rowley,Paul,A,Rowley,Richard Cyr,2022-01-24,2022-03-01,2027-02-28,CAREER: Cellular Mechanisms of Killer Toxin Resistance in Yeasts,[],PAUL ROWLEY
47.083,99966.0,99966,EPSCoR RII Track-1,2214502,Andrew D Kliskey,Andrew,D,Kliskey,J.D. Swanson,2022-02-18,2022-03-01,2023-02-28,Planning: Idaho EPSCoR RII Track-1 Planning Grant,['Rick J Schumaker'],ANDREW KLISKEY
